chip,dataset,column,bits,entries,frac_le8,baseline_gib_s,variant,gib_s,applicable,verified,delta_pct
h100,tpch-sf10,l_comment,12,4096,0.5766339,1051.7429093432208,pdict,806.4460025865387,True,True,-23.32289617334925
h100,tpch-sf10,l_comment,12,4096,0.5766339,1051.7429093432208,shdict8,593.7133779548267,True,True,-43.54957160342718
h100,tpch-sf10,l_comment,12,4096,0.5766339,1051.7429093432208,vdict,495.94993076948356,True,True,-52.84494657737335
h100,tpch-sf10,l_comment,14,16384,0.45121816,899.3766930576514,pdict,0.0,False,False,
h100,tpch-sf10,l_comment,14,16384,0.45121816,899.3766930576514,shdict8,373.7057459308106,True,True,-58.448362202904505
h100,tpch-sf10,l_comment,14,16384,0.45121816,899.3766930576514,vdict,0.0,False,False,
h100,tpch-sf10,l_comment,16,65510,0.33333755,720.4631594055253,pdict,0.0,False,False,
h100,tpch-sf10,l_comment,16,65510,0.33333755,720.4631594055253,shdict8,0.0,False,False,
h100,tpch-sf10,l_comment,16,65510,0.33333755,720.4631594055253,vdict,0.0,False,False,
h100,tpch-sf10,ps_comment,12,4096,0.3292266,1193.75012580718,pdict,963.7226589640266,True,True,-19.26931456343223
h100,tpch-sf10,ps_comment,12,4096,0.3292266,1193.75012580718,shdict8,729.466854327982,True,True,-38.89283539679318
h100,tpch-sf10,ps_comment,12,4096,0.3292266,1193.75012580718,vdict,574.2837703515636,True,True,-51.89246409810854
h100,tpch-sf10,ps_comment,14,16277,0.22680944,1064.0859157763123,pdict,0.0,False,False,
h100,tpch-sf10,ps_comment,14,16277,0.22680944,1064.0859157763123,shdict8,453.1475552818984,True,True,-57.41438275204489
h100,tpch-sf10,ps_comment,14,16277,0.22680944,1064.0859157763123,vdict,0.0,False,False,
h100,tpch-sf10,ps_comment,16,65116,0.15691218,852.8658241684731,pdict,0.0,False,False,
h100,tpch-sf10,ps_comment,16,65116,0.15691218,852.8658241684731,shdict8,0.0,False,False,
h100,tpch-sf10,ps_comment,16,65116,0.15691218,852.8658241684731,vdict,0.0,False,False,
